N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,71300.0,400.0,-0.56%,100.0,3022314.0,4484245.0,433766.0
2.0,LG에너지솔루션,434500.0,8000.0,-1.81%,500.0,255986.0,382994.0,12137.0
3.0,SK하이닉스,130700.0,2700.0,+2.11%,5000.0,446216.0,1038715.0,68094.0
4.0,삼성바이오로직스,703000.0,6000.0,-0.85%,2500.0,30013.0,165821.0,9836.0
5.0,삼성전자우,57000.0,200.0,-0.35%,100.0,,,
6.0,POSCO홀딩스,468000.0,4500.0,-0.95%,5000.0,847502.0,984068.0,48501.0
7.0,현대차,184900.0,900.0,+0.49%,5000.0,1425275.0,2557425.0,98198.0
8.0,LG화학,506000.0,8000.0,-1.56%,5000.0,518649.0,679738.0,29957.0
9.0,기아,84100.0,100.0,-0.12%,5000.0,865590.0,737110.0,72331.0
10.0,NAVER,206000.0,500.0,+0.24%,100.0,82201.0,338990.0,13047.0
11.0,삼성SDI,453500.0,9500.0,-2.05%,5000.0,201241.0,302575.0,18080.0
12.0,셀트리온,162800.0,5200.0,-3.10%,1000.0,22840.0,58917.0,6472.0
13.0,포스코퓨처엠,300000.0,3500.0,-1.15%,500.0,33019.0,46375.0,1659.0
14.0,카카오,49850.0,650.0,-1.29%,100.0,71068.0,229635.0,5803.0
15.0,현대모비스,232000.0,500.0,-0.22%,5000.0,519063.0,554067.0,20265.0
16.0,삼성물산,117000.0,900.0,+0.78%,100.0,431617.0,589815.0,25285.0
17.0,KB금융,52400.0,1300.0,-2.42%,5000.0,888959.0,7011708.0,56389.0
18.0,신한지주,36750.0,0.0,0.00%,5000.0,354133.0,6758843.0,58881.0
19.0,LG전자,104100.0,800.0,-0.76%,5000.0,834673.0,551561.0,35510.0
20.0,SK이노베이션,140000.0,1500.0,-1.06%,5000.0,780569.0,672189.0,39173.0
21.0,삼성생명,69700.0,100.0,-0.14%,500.0,403310.0,3161659.0,13866.0
22.0,LG,81700.0,500.0,-0.61%,5000.0,71860.0,296337.0,19414.0
23.0,삼성화재,265000.0,3500.0,+1.34%,500.0,257844.0,882243.0,16061.0
24.0,삼성에스디에스,158900.0,3700.0,+2.38%,500.0,172347.0,119524.0,9161.0
